category,total_sales,sales_contribution
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,6998.00,0.152842
Computers&Accessories|Components|InternalSolidStateDrives,6831.00,0.149195
Computers&Accessories|ExternalDevices&DataStorage|PenDrives,6686.00,0.146028
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",6504.00,0.142053
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",6412.00,0.140043
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",6268.00,0.136898
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",6038.00,0.131875
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,5999.00,0.131023
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,5662.00,0.123663
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,5529.00,0.120758
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,5317.00,0.116128
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",5236.00,0.114359
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,5134.00,0.112131
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",5022.00,0.109685
Electronics|HomeAudio|Speakers|SoundbarSpeakers,4999.00,0.109182
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,4995.00,0.109095
Computers&Accessories|NetworkingDevices|Repeaters&Extenders,4957.00,0.108265
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",4799.00,0.104814
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,4699.00,0.102630
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,4693.00,0.102499
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,4505.00,0.098393
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",4418.00,0.096493
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",4397.00,0.096034
Electronics|HomeAudio|Speakers|OutdoorSpeakers,4196.00,0.091644
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,4046.00,0.088368
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",4044.00,0.088324
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,3938.00,0.086009
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,3880.00,0.084742
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",3608.00,0.078802
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",3465.00,0.075678
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",3347.00,0.073101
Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies,3299.00,0.072053
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,2997.00,0.065457
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,2952.00,0.064474
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",2949.00,0.064409
Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,2790.00,0.060936
Computers&Accessories|Accessories&Peripherals|USBHubs,2765.00,0.060390
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,2712.00,0.059232
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",2699.00,0.058948
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,2697.00,0.058905
